tweet_id,timestamp
931403_17,2022-04-03 04:40:03+00:00
931403_18,2022-04-03 04:57:18+00:00
931403_19,2022-04-03 05:12:13+00:00
931403_20,2022-04-03 05:50:05+00:00
931403_21,2022-04-03 05:54:20+00:00
931403_22,2022-04-03 06:18:15+00:00
931403_23,2022-04-03 06:18:28+00:00
931403_24,2022-04-03 07:00:02+00:00
931403_25,2022-04-03 07:04:35+00:00
931403_26,2022-04-03 07:26:22+00:00
931403_27,2022-04-03 10:02:21+00:00
931403_28,2022-04-03 10:06:31+00:00
931403_29,2022-04-03 12:54:59+00:00
931403_30,2022-04-03 14:08:57+00:00
931403_31,2022-04-03 14:40:02+00:00
931403_32,2022-04-12 07:18:54+00:00
931403_33,2022-04-13 03:26:17+00:00
943443_1,2022-04-02 16:46:03+00:00
943443_2,2022-04-02 16:46:06+00:00
943443_3,2022-04-02 17:41:32+00:00
943443_4,2022-04-02 17:46:04+00:00
943443_5,2022-04-02 18:50:18+00:00
943443_6,2022-04-02 19:51:03+00:00
943443_7,2022-04-02 19:58:06+00:00
943443_8,2022-04-02 21:26:44+00:00
943443_9,2022-04-03 00:08:35+00:00
943443_10,2022-04-03 00:09:06+00:00
943443_11,2022-04-03 01:40:02+00:00
943443_12,2022-04-03 04:40:03+00:00
943443_13,2022-04-03 07:06:37+00:00
943443_14,2022-04-03 07:25:44+00:00
943443_15,2022-04-03 11:16:07+00:00
943443_16,2022-04-03 13:39:13+00:00
943443_17,2022-04-03 14:09:29+00:00
943443_18,2022-04-03 23:00:02+00:00
943443_19,2022-04-11 00:09:37+00:00
943443_20,2022-04-02 17:00:32+00:00
943443_20_1261036521752158209,2022-04-02T17:05:30+0000
943443_20_1261036521752158209_1173083481536159744,2022-04-02T19:33:00+0000
943443_20_1261036521752158209_1173083481536159744,2022-04-02T19:35:28+0000
943443_20_1358215767506915329,2022-04-02T19:16:32+0000
943443_20_1358215767506915329_1173083481536159744,2022-04-02T19:26:45+0000
943443_20_1260535514437836800,2022-04-02T22:00:47+0000
943443_21,2022-04-03 00:08:00+00:00
943443_21_1397208086859894799,2022-04-03T00:09:27+0000
943443_21_1397208086859894799_1241257309365559298,2022-04-04T01:34:13+0000
943443_21_208884858,2022-04-03T00:09:40+0000
943443_21_1492195260214263817,2022-04-03T00:10:26+0000
943443_21_870244616624328706,2022-04-03T00:10:28+0000
943443_21_537672106,2022-04-03T00:10:36+0000
943443_21_537672106_47052898,2022-04-03T00:17:22+0000
943443_21_537672106_2431400107,2022-04-03T01:12:41+0000
943443_21_1059170292927524868,2022-04-03T00:12:25+0000
943443_21_4869617525,2022-04-03T00:12:29+0000
943443_21_1505560034180165636,2022-04-03T00:17:09+0000
943443_21_989427304240701440,2022-04-03T00:18:33+0000
943443_21_1364680897467994116,2022-04-03T00:19:30+0000
943443_21_1268366409785962496,2022-04-03T00:19:44+0000
943443_21_1061795558577311744,2022-04-03T00:22:38+0000
943443_21_1377125240942206976,2022-04-03T00:23:22+0000
943443_21_1510078946188034051,2022-04-03T00:25:30+0000
943443_21_1500328991395352577,2022-04-03T00:50:50+0000
943443_21_1939929786,2022-04-03T01:11:31+0000
943443_21_1939929786_1384527143678394371,2022-04-03T18:37:34+0000
943443_21_1338564880144592896,2022-04-03T01:12:36+0000
943443_21_1014017037792784386,2022-04-03T01:28:31+0000
943443_21_555017913,2022-04-03T01:29:34+0000
943443_21_1423416006878253057,2022-04-03T02:33:06+0000
943443_21_1509068397719560197,2022-04-03T05:35:06+0000
943443_21_1268419531606614016,2022-04-03T05:35:45+0000
943443_21_444502392,2022-04-03T05:48:30+0000
943443_21_1504223843568832516,2022-04-03T05:58:19+0000
943443_21_1338712220193218562,2022-04-03T06:43:23+0000
943443_21_1497109010193039412,2022-04-03T07:03:37+0000
943443_21_900617575578697728,2022-04-03T07:38:26+0000
943443_21_1496219152696102919,2022-04-03T09:10:18+0000
943443_21_1483405855504670722,2022-04-03T12:00:45+0000
943443_21_1037877666702139397,2022-04-03T14:34:44+0000
943443_21_1384527143678394371,2022-04-03T18:35:13+0000
959740_1,2022-04-02 15:16:18+00:00
959740_2,2022-04-02 15:21:13+00:00
959740_3,2022-04-02 15:31:39+00:00
959740_4,2022-04-02 15:46:45+00:00
959740_5,2022-04-02 16:18:21+00:00
959740_6,2022-04-02 16:22:41+00:00
959740_7,2022-04-02 16:22:53+00:00
959740_8,2022-04-02 16:22:58+00:00
959740_9,2022-04-02 16:23:51+00:00
959740_10,2022-04-02 16:25:52+00:00
959740_11,2022-04-02 16:43:44+00:00
959740_12,2022-04-02 17:54:57+00:00
959740_13,2022-04-02 18:10:33+00:00
959740_14,2022-04-02 18:10:35+00:00
959740_15,2022-04-02 18:39:22+00:00
